CrimeKey,CrimeCode,CrimeDescription
1,100,ARSON
2,100,ASSAULT
3,100,BURGLARY
4,100,COUNTERFEITING
5,100,CYBERCRIME
6,100,DOMESTIC VIOLENCE
7,100,DRUG OFFENSE
8,100,EXTORTION
9,100,FIREARM OFFENSE
10,100,FRAUD
11,100,HOMICIDE
12,100,IDENTITY THEFT
13,100,ILLEGAL POSSESSION
14,100,KIDNAPPING
15,100,PUBLIC INTOXICATION
16,100,ROBBERY
17,100,SEXUAL ASSAULT
18,100,SHOPLIFTING
19,100,TRAFFIC VIOLATION
20,100,VANDALISM
21,100,VEHICLE - STOLEN
22,101,ARSON
23,101,ASSAULT
24,101,BURGLARY
25,101,COUNTERFEITING
26,101,CYBERCRIME
27,101,DOMESTIC VIOLENCE
28,101,DRUG OFFENSE
29,101,EXTORTION
30,101,FIREARM OFFENSE
31,101,FRAUD
32,101,HOMICIDE
33,101,IDENTITY THEFT
34,101,ILLEGAL POSSESSION
35,101,KIDNAPPING
36,101,PUBLIC INTOXICATION
37,101,ROBBERY
38,101,SHOPLIFTING
39,101,TRAFFIC VIOLATION
40,101,VANDALISM
41,101,VEHICLE - STOLEN
42,102,ARSON
43,102,ASSAULT
44,102,BURGLARY
45,102,COUNTERFEITING
46,102,CYBERCRIME
47,102,DRUG OFFENSE
48,102,EXTORTION
49,102,FIREARM OFFENSE
50,102,FRAUD
51,102,HOMICIDE
52,102,IDENTITY THEFT
53,102,ILLEGAL POSSESSION
54,102,KIDNAPPING
55,102,PUBLIC INTOXICATION
56,102,SEXUAL ASSAULT
57,102,SHOPLIFTING
58,102,TRAFFIC VIOLATION
59,102,VANDALISM
60,102,VEHICLE - STOLEN
61,103,ARSON
62,103,ASSAULT
63,103,BURGLARY
64,103,COUNTERFEITING
65,103,CYBERCRIME
66,103,DOMESTIC VIOLENCE
67,103,DRUG OFFENSE
68,103,EXTORTION
69,103,FIREARM OFFENSE
70,103,FRAUD
71,103,HOMICIDE
72,103,IDENTITY THEFT
73,103,KIDNAPPING
74,103,PUBLIC INTOXICATION
75,103,ROBBERY
76,103,SEXUAL ASSAULT
77,103,SHOPLIFTING
78,103,TRAFFIC VIOLATION
79,103,VANDALISM
80,103,VEHICLE - STOLEN
81,104,ARSON
82,104,ASSAULT
83,104,BURGLARY
84,104,COUNTERFEITING
85,104,CYBERCRIME
86,104,DOMESTIC VIOLENCE
87,104,DRUG OFFENSE
88,104,EXTORTION
89,104,FIREARM OFFENSE
90,104,FRAUD
91,104,HOMICIDE
92,104,IDENTITY THEFT
93,104,ILLEGAL POSSESSION
94,104,KIDNAPPING
95,104,PUBLIC INTOXICATION
96,104,ROBBERY
97,104,SEXUAL ASSAULT
98,104,SHOPLIFTING
99,104,TRAFFIC VIOLATION
100,104,VANDALISM
101,104,VEHICLE - STOLEN
102,105,ARSON
103,105,ASSAULT
104,105,BURGLARY
105,105,COUNTERFEITING
106,105,CYBERCRIME
107,105,DOMESTIC VIOLENCE
108,105,DRUG OFFENSE
109,105,EXTORTION
110,105,FRAUD
111,105,HOMICIDE
112,105,IDENTITY THEFT
113,105,ILLEGAL POSSESSION
114,105,KIDNAPPING
115,105,PUBLIC INTOXICATION
116,105,ROBBERY
117,105,SEXUAL ASSAULT
118,105,SHOPLIFTING
119,105,TRAFFIC VIOLATION
120,105,VANDALISM
121,105,VEHICLE - STOLEN
122,106,ARSON
123,106,ASSAULT
124,106,BURGLARY
125,106,COUNTERFEITING
126,106,CYBERCRIME
127,106,DOMESTIC VIOLENCE
128,106,DRUG OFFENSE
129,106,EXTORTION
130,106,FIREARM OFFENSE
