Victim Age,Victim Gender,Victim_ID
16,M,1
37,M,2
48,F,3
49,F,4
30,F,5
64,F,6
78,X,7
41,X,8
29,M,9
71,M,10
26,M,11
36,F,12
32,X,13
77,F,14
51,F,15
61,M,16
11,M,17
62,F,18
50,F,19
69,F,20
18,F,21
60,M,22
49,M,23
41,F,24
33,F,25
37,F,26
32,F,27
73,F,28
24,F,29
34,F,30
22,F,31
28,F,32
42,M,33
40,M,34
44,M,35
44,F,36
67,M,37
47,F,38
38,F,39
54,F,40
75,M,41
61,F,42
67,F,43
70,F,44
75,F,45
53,F,46
30,M,47
56,M,48
19,F,49
58,F,50
45,F,51
25,M,52
22,M,53
59,F,54
31,F,55
35,F,56
36,M,57
52,M,58
25,F,59
39,F,60
16,F,61
72,F,62
48,M,63
11,F,64
60,F,65
53,M,66
42,F,67
10,M,68
26,F,69
74,F,70
13,F,71
12,F,72
21,F,73
55,F,74
15,F,75
43,M,76
32,M,77
14,M,78
70,M,79
78,F,80
33,M,81
18,M,82
71,F,83
12,M,84
57,F,85
79,F,86
17,M,87
46,F,88
23,F,89
27,F,90
17,F,91
66,F,92
54,M,93
79,M,94
24,M,95
58,M,96
40,F,97
64,M,98
72,M,99
63,F,100
56,F,101
63,M,102
59,M,103
43,F,104
15,M,105
34,M,106
73,M,107
14,F,108
68,F,109
65,F,110
35,M,111
45,M,112
23,M,113
65,M,114
39,M,115
68,M,116
76,M,117
47,M,118
50,M,119
38,M,120
78,M,121
21,M,122
10,F,123
62,M,124
27,M,125
29,F,126
41,M,127
57,M,128
46,M,129
76,F,130
55,M,131
69,M,132
31,M,133
28,M,134
19,M,135
52,F,136
13,M,137
74,M,138
20,M,139
20,F,140
51,M,141
77,M,142
66,M,143
31,X,144
52,X,145
25,X,146
36,X,147
35,X,148
18,X,149
42,X,150
53,X,151
61,X,152
68,X,153
47,X,154
21,X,155
46,X,156
73,X,157
69,X,158
56,X,159
33,X,160
10,X,161
27,X,162
49,X,163
12,X,164
38,X,165
62,X,166
11,X,167
65,X,168
23,X,169
40,X,170
14,X,171
48,X,172
43,X,173
29,X,174
15,X,175
17,X,176
19,X,177
76,X,178
63,X,179
79,X,180
66,X,181
64,X,182
59,X,183
39,X,184
75,X,185
50,X,186
16,X,187
60,X,188
37,X,189
70,X,190
20,X,191
51,X,192
55,X,193
30,X,194
34,X,195
57,X,196
67,X,197
72,X,198
58,X,199
44,X,200
71,X,201
24,X,202
26,X,203
45,X,204
13,X,205
54,X,206
22,X,207
74,X,208
28,X,209
77,X,210
